time/fps,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/n_updates,train/std,train/entropy_loss,train/clip_range,train/approx_kl,train/loss,train/clip_fraction,train/value_loss
6649,16384,2,1,1000.0,-331.8482687317105,,,,,,,,,,,
2728,32768,12,2,1000.0,-353.80901779075214,-0.0017877117365969752,0.0003,-1.0881266593933105,10,0.996250569820404,-8.49438274204731,0.2,0.00728688,0.06223953887820244,0.101422119140625,0.14610430738975994
2260,49152,21,3,1000.0,-342.6419534549818,-0.005266295612636895,0.0003,0.37350356578826904,20,0.992697536945343,-8.473731726780533,0.2,0.008259641,0.023586340248584747,0.100341796875,0.11159000467450823
2053,65536,31,4,1000.0,-342.9361455537494,-0.006442856125022445,0.0003,0.4710921049118042,30,0.9873096346855164,-8.439454037323594,0.2,0.008740044,0.055938273668289185,0.1037353515625,0.09907569024217082
1960,81920,41,5,1000.0,-334.1128353898147,-0.006931509235073463,0.0003,0.47385960817337036,40,0.9805968403816223,-8.40520375147462,0.2,0.009411511,0.029385240748524666,0.10701904296875,0.08349173843453173
1867,98304,52,6,1000.0,-319.620481937331,-0.008471286379062803,0.0003,0.5283737182617188,50,0.974475085735321,-8.36601944975555,0.2,0.009484033,0.019877763465046883,0.1199462890625,0.08863279644137947
1739,114688,65,7,1000.0,-307.2270593562073,-0.011316196058214701,0.0003,0.5786319673061371,60,0.9620855450630188,-8.294082244113088,0.2,0.011142975,0.010450385510921478,0.132659912109375,0.07229129883853602
1571,131072,83,8,1000.0,-278.2747102000064,-0.010683301312565164,0.0003,0.6128163933753967,70,0.9602792263031006,-8.27585524879396,0.2,0.012131779,-0.0024771615862846375,0.1439453125,0.07025219180140993
1444,147456,102,9,1000.0,-254.17945084436673,-0.011594161214998167,0.0003,0.5982398688793182,80,0.9527314305305481,-8.232221626117825,0.2,0.013264267,0.03771614655852318,0.1505615234375,0.08452185166315758
1358,163840,120,10,1000.0,-227.819617389664,-0.011827853779686847,0.0003,0.5860575735569,90,0.9420121312141418,-8.159019349515438,0.2,0.014458296,-0.00047328881919384,0.166796875,0.06393105219030985
1272,180224,141,11,1000.0,-200.95089356198025,-0.01301740920453085,0.0003,0.6892037093639374,100,0.9329443573951721,-8.09962667748332,0.2,0.014672228,0.022187503054738045,0.16871337890625,0.049621742861927484
1225,196608,160,12,1000.0,-177.8939098712825,-0.012411755297489436,0.0003,0.6595460176467896,110,0.9268401265144348,-8.065071900933981,0.2,0.015809564,0.013468321412801743,0.177044677734375,0.07223423114119214
1189,212992,179,13,1000.0,-155.2725109836273,-0.011863296714909665,0.0003,0.626212865114212,120,0.9187538027763367,-8.003802427649498,0.2,0.015734784,0.034234922379255295,0.17904052734375,0.08438118051708443
