time/episodes,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates,rollout/ep_rew_mean,train/ent_coef,time/fps,train/ent_coef_loss,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean
4,-57.24467086791992,1.637730360031128,0.0003,987,-312.2852078338776,0.7485925555229187,383,-2.7479822635650635,8000,20,1000.0
8,,,,,-312.2852078338776,,383,,8000,20,1000.0
12,-83.6467514038086,1.0351176261901855,0.0003,1987,-321.5205985251577,0.5520007610321045,378,-5.916481018066406,16000,42,1000.0
16,,,,,-321.5205985251577,,378,,16000,42,1000.0
20,-96.00094604492188,0.7395036220550537,0.0003,2987,-323.4499686727168,0.4075007736682892,378,-8.939188003540039,24000,63,1000.0
24,,,,,-323.4499686727168,,378,,24000,63,1000.0
28,-98.02263641357422,0.3933810591697693,0.0003,3987,-321.4105147524944,0.30161720514297485,378,-11.88968563079834,32000,84,1000.0
32,,,,,-321.4105147524944,,378,,32000,84,1000.0
36,-94.96610260009766,0.2519654333591461,0.0003,4987,-312.76639289831564,0.2234562635421753,377,-14.816873550415039,40000,105,1000.0
40,,,,,-312.76639289831564,,377,,40000,105,1000.0
44,-88.59703063964844,0.16291630268096924,0.0003,5987,-302.14264957127546,0.16562193632125854,377,-17.781795501708984,48000,127,1000.0
48,,,,,-302.14264957127546,,377,,48000,127,1000.0
52,-80.2470703125,0.0765678882598877,0.0003,6987,-283.11892938806284,0.12275173515081406,377,-20.470293045043945,56000,148,1000.0
56,,,,,-283.11892938806284,,377,,56000,148,1000.0
60,-71.64289855957031,0.04534226655960083,0.0003,7987,-260.3033678607088,0.09099473804235458,375,-23.63753890991211,64000,170,1000.0
64,,,,,-260.3033678607088,,375,,64000,170,1000.0
68,-62.679176330566406,0.03445650264620781,0.0003,8987,-240.7481298473434,0.06747294962406158,375,-26.292407989501953,72000,191,1000.0
72,,,,,-240.7481298473434,,375,,72000,191,1000.0
76,-54.336402893066406,0.02733108028769493,0.0003,9987,-209.8640379959089,0.050062812864780426,382,-29.017322540283203,80000,209,1000.0
80,,,,,-209.8640379959089,,382,,80000,209,1000.0
84,-46.84062957763672,0.017915800213813782,0.0003,10987,-171.58417473466005,0.037175558507442474,390,-31.631847381591797,88000,225,1000.0
88,,,,,-171.58417473466005,,390,,88000,225,1000.0
92,-39.99739074707031,0.015025547705590725,0.0003,11987,-123.46637547137009,0.027639297768473625,398,-34.08440399169922,96000,240,1000.0
96,,,,,-123.46637547137009,,398,,96000,240,1000.0
100,-34.01913833618164,0.007506286259740591,0.0003,12987,-51.94966640473647,0.020580153912305832,405,-36.16788864135742,104000,256,1000.0
104,,,,,-51.94966640473647,,405,,104000,256,1000.0
108,-28.867578506469727,0.005840973928570747,0.0003,13987,37.69515451527871,0.015314691700041294,405,-37.85697555541992,112000,276,1000.0
112,,,,,37.69515451527871,,405,,112000,276,1000.0
116,-24.419631958007812,0.004555540159344673,0.0003,14987,140.73871408231287,0.011416159570217133,402,-40.250343322753906,120000,297,1000.0
120,,,,,140.73871408231287,,402,,120000,297,1000.0
124,-20.587886810302734,0.004302437417209148,0.0003,15987,277.5050670155688,0.008543535135686398,399,-40.25832748413086,128000,320,1000.0
128,,,,,277.5050670155688,,399,,128000,320,1000.0
132,-17.29946517944336,0.005165858659893274,0.0003,16987,414.43918503671625,0.006410499569028616,397,-40.364479064941406,136000,342,1000.0
136,,,,,414.43918503671625,,397,,136000,342,1000.0
140,-14.627117156982422,0.002262482885271311,0.0003,17987,575.7055470768519,0.00482561532407999,396,-42.50161361694336,144000,363,1000.0
144,,,,,575.7055470768519,,396,,144000,363,1000.0
148,-12.368541717529297,0.0030905448365956545,0.0003,18987,767.9297479683871,0.003639619331806898,395,-37.31375503540039,152000,384,1000.0
152,,,,,767.9297479683871,,395,,152000,384,1000.0
156,-10.485291481018066,0.0013729205820709467,0.0003,19987,978.2605666501278,0.002758865477517247,394,-38.17076110839844,160000,405,1000.0
160,,,,,978.2605666501278,,394,,160000,405,1000.0
164,-8.924392700195312,0.0015986715443432331,0.0003,20987,1213.2376198180104,0.002103515202179551,393,-36.56086349487305,168000,426,1000.0
168,,,,,1213.2376198180104,,393,,168000,426,1000.0
172,-7.690348148345947,0.0010046709794551134,0.0003,21987,1461.0148083716588,0.0016134801553562284,392,-30.04509735107422,176000,448,1000.0
176,,,,,1461.0148083716588,,392,,176000,448,1000.0
180,-6.647148132324219,0.0014975082594901323,0.0003,22987,1691.3734601250742,0.0012434849049896002,391,-26.93577766418457,184000,469,1000.0
184,,,,,1691.3734601250742,,391,,184000,469,1000.0
188,-5.771296977996826,0.0018049405189231038,0.0003,23987,1947.903790528538,0.0009656082256697118,391,-25.62411117553711,192000,490,1000.0
192,,,,,1947.903790528538,,391,,192000,490,1000.0
196,-5.055607795715332,0.0013235240476205945,0.0003,24987,2208.828897546254,0.0007557402714155614,390,-23.356557846069336,200000,511,1000.0
200,,,,,2208.828897546254,,390,,200000,511,1000.0
