time/iterations,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/std,train/loss,train/entropy_loss,train/n_updates,train/clip_fraction,train/approx_kl,train/clip_range,train/learning_rate,train/explained_variance,train/value_loss,eval/mean_ep_length,eval/mean_reward
1,3,1000.0,8192,-358.949179625,2053,,,,,,,,,,,,,
2,18,1000.0,16384,-337.29209681249995,885,-0.019378662407507363,0.98708176612854,-0.06927110999822617,-8.452088491618634,10,0.155322265625,0.036795445,0.32574786615368245,0.000521211910130166,-1.350567102432251,0.05889659979657154,,
3,33,1000.0,24576,-329.72674358333336,738,-0.04119042036945757,0.965765655040741,-0.09278040379285812,-8.330504079908133,20,0.206005859375,0.05691612,0.32574786615368245,0.000521211910130166,0.34966766834259033,0.013990429148907423,,
4,48,1000.0,32768,-323.4974035625,679,-0.06989180249693164,0.9443961977958679,-0.1622636318206787,-8.210447122901678,30,0.31024169921875,0.09354776,0.32574786615368245,0.000521211910130166,0.6053206026554108,0.012224621652057977,,
5,62,1000.0,40960,-311.119827125,657,-0.09202243673498742,0.9191747307777405,-0.15021651983261108,-8.079208096861839,40,0.3767578125,0.13293263,0.32574786615368245,0.000521211910130166,0.6333436667919159,0.02208738271947368,,
6,76,1000.0,49152,-292.30007383333333,642,-0.10458886297565187,0.8883962631225586,-0.13208934664726257,-7.881549728661776,50,0.46119384765625,0.19098109,0.32574786615368245,0.000521211910130166,0.6979052722454071,0.021889452917093877,,
7,91,1000.0,57344,-275.0375830714286,627,-0.11014230021573894,0.8603995442390442,-0.17489799857139587,-7.6834043085575106,60,0.5089599609375,0.23070684,0.32574786615368245,0.000521211910130166,0.6110557615756989,0.014155019881945919,,
8,106,1000.0,65536,-256.247058109375,616,-0.11245039307177648,0.8318095207214355,-0.14998464286327362,-7.49080212265253,70,0.5363525390625,0.2739033,0.32574786615368245,0.000521211910130166,0.629955917596817,0.016963329775171586,,
9,119,1000.0,73728,-236.3429115416667,615,-0.11692118905048118,0.8019830584526062,-0.1749850958585739,-7.2845793783664705,80,0.567333984375,0.3232604,0.32574786615368245,0.000521211910130166,0.6290389597415924,0.014292744535123348,,
10,134,1000.0,81920,-213.63798571249998,607,-0.11975827641945216,0.7757701277732849,-0.14475318789482117,-7.077300535887479,90,0.59091796875,0.34910306,0.32574786615368245,0.000521211910130166,0.5958228707313538,0.013655353766444023,,
11,143,1000.0,90112,-189.77181213636365,627,-0.11834999152888485,0.7437918782234192,-0.19086413085460663,-6.844151014089585,100,0.60611572265625,0.39525956,0.32574786615368245,0.000521211910130166,0.6238162815570831,0.012506507337820948,,
12,151,1000.0,98304,-167.17854454166667,649,-0.11736220501552452,0.7144720554351807,-0.13785788416862488,-6.594422854110599,110,0.63338623046875,0.44701976,0.32574786615368245,0.000521211910130166,0.6703768074512482,0.011965518118086039,,
13,158,1000.0,106496,-134.70270424000003,669,-0.11796411511386395,0.6862021088600159,-0.16706833243370056,-6.353278107568622,120,0.63958740234375,0.48116106,0.32574786615368245,0.000521211910130166,0.648843914270401,0.014931826839165297,,
